# Voltage,Time
3.218608058608058542e+00,1.825000000000004353e-03
3.217802197802198005e+00,1.830000000000004366e-03
3.219413919413919523e+00,1.835000000000004379e-03
3.219413919413919523e+00,1.840000000000004392e-03
3.219413919413919523e+00,1.845000000000004406e-03
3.220219780219780059e+00,1.850000000000004419e-03
3.221831501831502020e+00,1.855000000000004432e-03
3.222637362637362557e+00,1.860000000000004445e-03
3.222637362637362557e+00,1.865000000000004458e-03
3.224249084249084074e+00,1.870000000000004471e-03
3.223443223443223538e+00,1.875000000000004484e-03
3.224249084249084074e+00,1.880000000000004497e-03
3.225860805860806035e+00,1.885000000000004510e-03
3.225860805860806035e+00,1.890000000000004524e-03
3.226666666666666572e+00,1.895000000000004537e-03
3.227472527472527553e+00,1.900000000000004550e-03
3.228278388278388089e+00,1.905000000000004563e-03
3.229084249084249070e+00,1.910000000000004576e-03
3.229084249084249070e+00,1.915000000000004589e-03
3.229890109890110050e+00,1.920000000000004602e-03
3.230695970695970587e+00,1.925000000000004615e-03
3.230695970695970587e+00,1.930000000000004629e-03
3.231501831501831568e+00,1.935000000000004642e-03
3.230695970695970587e+00,1.940000000000004655e-03
3.232307692307692104e+00,1.945000000000004668e-03
3.232307692307692104e+00,1.950000000000004681e-03
3.233113553113553085e+00,1.955000000000004477e-03
3.234725274725274602e+00,1.960000000000004274e-03
3.233919413919414065e+00,1.965000000000004070e-03
3.234725274725274602e+00,1.970000000000003866e-03
3.235531135531135583e+00,1.975000000000003662e-03
3.235531135531135583e+00,1.980000000000003459e-03
3.235531135531135583e+00,1.985000000000003255e-03
3.237948717948718080e+00,1.990000000000003051e-03
3.235531135531135583e+00,1.995000000000002847e-03
3.237948717948718080e+00,2.000000000000002644e-03
3.238754578754578617e+00,2.005000000000002440e-03
3.238754578754578617e+00,2.010000000000002236e-03
3.238754578754578617e+00,2.015000000000002033e-03
3.239560439560439598e+00,2.020000000000001829e-03
3.239560439560439598e+00,2.025000000000001625e-03
3.241172161172161115e+00,2.030000000000001421e-03
3.241172161172161115e+00,2.035000000000001218e-03
3.241172161172161115e+00,2.040000000000001014e-03
3.241978021978022095e+00,2.045000000000000810e-03
3.241978021978022095e+00,2.050000000000000606e-03
3.241978021978022095e+00,2.055000000000000403e-03
3.241978021978022095e+00,2.060000000000000199e-03
3.243589743589743613e+00,2.064999999999999995e-03
3.244395604395604593e+00,2.069999999999999792e-03
3.243589743589743613e+00,2.074999999999999588e-03
3.245201465201465130e+00,2.079999999999999384e-03
3.245201465201465130e+00,2.084999999999999180e-03
3.245201465201465130e+00,2.089999999999998977e-03
3.245201465201465130e+00,2.094999999999998773e-03
3.246813186813186647e+00,2.099999999999998569e-03
3.246007326007326110e+00,2.104999999999998365e-03
3.247619047619047628e+00,2.109999999999998162e-03
3.247619047619047628e+00,2.114999999999997958e-03
3.246813186813186647e+00,2.119999999999997754e-03
3.248424908424908608e+00,2.124999999999997551e-03
3.248424908424908608e+00,2.129999999999997347e-03
3.248424908424908608e+00,2.134999999999997143e-03
3.248424908424908608e+00,2.139999999999996939e-03
3.248424908424908608e+00,2.144999999999996736e-03
3.250036630036630125e+00,2.149999999999996532e-03
3.250842490842490662e+00,2.154999999999996328e-03
3.250842490842490662e+00,2.159999999999996124e-03
3.250036630036630125e+00,2.164999999999995921e-03
3.251648351648351642e+00,2.169999999999995717e-03
3.251648351648351642e+00,2.174999999999995513e-03
3.251648351648351642e+00,2.179999999999995310e-03
3.251648351648351642e+00,2.184999999999995106e-03
3.251648351648351642e+00,2.189999999999994902e-03
3.252454212454212623e+00,2.194999999999994698e-03
3.254065934065934140e+00,2.199999999999994495e-03
3.253260073260073160e+00,2.204999999999994291e-03
3.254065934065934140e+00,2.209999999999994087e-03
3.254871794871794677e+00,2.214999999999993884e-03
3.254871794871794677e+00,2.219999999999993680e-03
3.254871794871794677e+00,2.224999999999993476e-03
3.255677655677655657e+00,2.229999999999993272e-03
3.256483516483516638e+00,2.234999999999993069e-03
3.254871794871794677e+00,2.239999999999992865e-03
3.257289377289377175e+00,2.244999999999992661e-03
3.257289377289377175e+00,2.249999999999992457e-03
3.255677655677655657e+00,2.254999999999992254e-03
3.256483516483516638e+00,2.259999999999992050e-03
3.257289377289377175e+00,2.264999999999991846e-03
3.256483516483516638e+00,2.269999999999991643e-03
3.257289377289377175e+00,2.274999999999991439e-03
3.258095238095238155e+00,2.279999999999991235e-03
3.258095238095238155e+00,2.284999999999991031e-03
3.258095238095238155e+00,2.289999999999990828e-03
3.258095238095238155e+00,2.294999999999990624e-03
3.259706959706959672e+00,2.299999999999990420e-03
3.258901098901098692e+00,2.304999999999990216e-03
3.258095238095238155e+00,2.309999999999990013e-03
3.258901098901098692e+00,2.314999999999989809e-03
3.259706959706959672e+00,2.319999999999989605e-03
3.261318681318681190e+00,2.324999999999989402e-03
3.261318681318681190e+00,2.329999999999989198e-03
3.259706959706959672e+00,2.334999999999988994e-03
3.261318681318681190e+00,2.339999999999988790e-03
3.261318681318681190e+00,2.344999999999988587e-03
3.261318681318681190e+00,2.349999999999988383e-03
3.261318681318681190e+00,2.354999999999988179e-03
3.261318681318681190e+00,2.359999999999987975e-03
3.261318681318681190e+00,2.364999999999987772e-03
3.262930402930402707e+00,2.369999999999987568e-03
3.261318681318681190e+00,2.374999999999987364e-03
3.261318681318681190e+00,2.379999999999987161e-03
3.262930402930402707e+00,2.384999999999986957e-03
3.261318681318681190e+00,2.389999999999986753e-03
3.261318681318681190e+00,2.394999999999986549e-03
3.262930402930402707e+00,2.399999999999986346e-03
3.262930402930402707e+00,2.404999999999986142e-03
3.263736263736263687e+00,2.409999999999985938e-03
3.264542124542124668e+00,2.414999999999985734e-03
3.264542124542124668e+00,2.419999999999985531e-03
3.265347985347985205e+00,2.424999999999985327e-03
3.264542124542124668e+00,2.429999999999985123e-03
3.265347985347985205e+00,2.434999999999984920e-03
3.265347985347985205e+00,2.439999999999984716e-03
3.265347985347985205e+00,2.444999999999984512e-03
3.266153846153846185e+00,2.449999999999984308e-03
3.266959706959707166e+00,2.454999999999984105e-03
3.266153846153846185e+00,2.459999999999983901e-03
3.265347985347985205e+00,2.464999999999983697e-03
3.266153846153846185e+00,2.469999999999983493e-03
3.269377289377289220e+00,2.474999999999983290e-03
3.270989010989011181e+00,2.479999999999983086e-03
3.265347985347985205e+00,2.484999999999982882e-03
3.267765567765567702e+00,2.489999999999982679e-03
3.267765567765567702e+00,2.494999999999982475e-03
3.267765567765567702e+00,2.499999999999982271e-03
3.267765567765567702e+00,2.504999999999982067e-03
3.268571428571428683e+00,2.509999999999981864e-03
3.266959706959707166e+00,2.514999999999981660e-03
3.267765567765567702e+00,2.519999999999981456e-03
3.267765567765567702e+00,2.524999999999981252e-03
3.268571428571428683e+00,2.529999999999981049e-03
3.268571428571428683e+00,2.534999999999980845e-03
3.267765567765567702e+00,2.539999999999980641e-03
3.269377289377289220e+00,2.544999999999980438e-03
3.269377289377289220e+00,2.549999999999980234e-03
3.268571428571428683e+00,2.554999999999980030e-03
3.268571428571428683e+00,2.559999999999979826e-03
3.269377289377289220e+00,2.564999999999979623e-03
3.269377289377289220e+00,2.569999999999979419e-03
3.269377289377289220e+00,2.574999999999979215e-03
3.270989010989011181e+00,2.579999999999979012e-03
3.269377289377289220e+00,2.584999999999978808e-03
3.269377289377289220e+00,2.589999999999978604e-03
3.270183150183150200e+00,2.594999999999978400e-03
3.270989010989011181e+00,2.599999999999978197e-03
3.270183150183150200e+00,2.604999999999977993e-03
3.270989010989011181e+00,2.609999999999977789e-03
3.270183150183150200e+00,2.614999999999977585e-03
3.270989010989011181e+00,2.619999999999977382e-03
3.271794871794871717e+00,2.624999999999977178e-03
3.270989010989011181e+00,2.629999999999976974e-03
3.270989010989011181e+00,2.634999999999976771e-03
3.272600732600732698e+00,2.639999999999976567e-03
3.271794871794871717e+00,2.644999999999976363e-03
3.270989010989011181e+00,2.649999999999976159e-03
3.271794871794871717e+00,2.654999999999975956e-03
3.271794871794871717e+00,2.659999999999975752e-03
3.271794871794871717e+00,2.664999999999975548e-03
3.272600732600732698e+00,2.669999999999975344e-03
3.271794871794871717e+00,2.674999999999975141e-03
3.272600732600732698e+00,2.679999999999974937e-03
3.272600732600732698e+00,2.684999999999974733e-03
3.272600732600732698e+00,2.689999999999974530e-03
3.271794871794871717e+00,2.694999999999974326e-03
3.273406593406593235e+00,2.699999999999974122e-03
3.273406593406593235e+00,2.704999999999973918e-03
3.272600732600732698e+00,2.709999999999973715e-03
3.270989010989011181e+00,2.714999999999973511e-03
3.274212454212454215e+00,2.719999999999973307e-03
3.272600732600732698e+00,2.724999999999973103e-03
3.274212454212454215e+00,2.729999999999972900e-03
3.272600732600732698e+00,2.734999999999972696e-03
3.274212454212454215e+00,2.739999999999972492e-03
3.273406593406593235e+00,2.744999999999972289e-03
3.274212454212454215e+00,2.749999999999972085e-03
3.274212454212454215e+00,2.754999999999971881e-03
3.274212454212454215e+00,2.759999999999971677e-03
3.274212454212454215e+00,2.764999999999971474e-03
3.274212454212454215e+00,2.769999999999971270e-03
3.274212454212454215e+00,2.774999999999971066e-03
3.274212454212454215e+00,2.779999999999970862e-03
3.274212454212454215e+00,2.784999999999970659e-03
3.275018315018315196e+00,2.789999999999970455e-03
3.274212454212454215e+00,2.794999999999970251e-03
3.274212454212454215e+00,2.799999999999970048e-03
3.274212454212454215e+00,2.804999999999969844e-03
3.274212454212454215e+00,2.809999999999969640e-03
3.274212454212454215e+00,2.814999999999969436e-03
3.275824175824175732e+00,2.819999999999969233e-03
3.274212454212454215e+00,2.824999999999969029e-03
3.275018315018315196e+00,2.829999999999968825e-03
3.276630036630036713e+00,2.834999999999968621e-03
